"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","MMCB.KW","","5 minutes"
"Point_2:","MMCB.KWH","","15 minutes"
"Point_3:","MMCB.RA","","5 minutes"
"Point_4:","MMCB.SA","","5 minutes"
"Point_5:","MMCB.TA","","5 minutes"
"Time Interval:","15 Minutes"
"Date Range:","2017/2/11 00:00:00 - 2017/4/10 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5"
"2017/2/11","00:00:00","3595","12027449","3536.35","3912.65","3546.84"
"2017/2/11","00:15:00","3415","12027534","3489.58","3872.58","3502.85"
"2017/2/11","00:30:00","3371","12027614","3484.59","3865.07","3488.39"
"2017/2/11","00:45:00","3391","12027694","3489.19","3864.48","3493.32"
"2017/2/11","01:00:00","3352","12027769","3473.57","3858.56","3485.49"
"2017/2/11","01:15:00","3473","12027849","3510.61","3886.68","3517.19"
"2017/2/11","01:30:00","3477","12027929","3510.47","3888.89","3524.61"
"2017/2/11","01:45:00","3323","12028009","3472.12","3848.83","3484.33"
"2017/2/11","02:00:00","3240","12028089","3450.24","3825.72","3456.53"
"2017/2/11","02:15:00","3277","12028164","3461.15","3838.18","3468.58"
"2017/2/11","02:30:00","3308","12028239","3470.63","3849.10","3478.66"
"2017/2/11","02:45:00","3276","12028319","3460.09","3839.86","3469.07"
"2017/2/11","03:00:00","3273","12028394","3457.22","3832.84","3464.95"
"2017/2/11","03:15:00","3345","12028469","3475.31","3853.29","3488.28"
"2017/2/11","03:30:00","3400","12028549","3489.95","3871.29","3495.90"
"2017/2/11","03:45:00","3296","12028624","3462.63","3847.35","3473.06"
"2017/2/11","04:00:00","3224","12028704","3443.72","3823.90","3452.02"
"2017/2/11","04:15:00","3287","12028779","3460.43","3839.30","3467.62"
"2017/2/11","04:30:00","3240","12028854","3448.98","3831.60","3458.01"
"2017/2/11","04:45:00","3342","12028929","3475.87","3855.59","3484.62"
"2017/2/11","05:00:00","3358","12029009","3476.41","3865.90","3487.63"
"2017/2/11","05:15:00","3377","12029084","3486.08","3860.78","3488.09"
"2017/2/11","05:30:00","3412","12029164","3491.27","3872.91","3500.77"
"2017/2/11","05:45:00","3350","12029239","3481.81","3858.02","3480.09"
"2017/2/11","06:00:00","3324","12029319","3472.34","3849.78","3478.60"
"2017/2/11","06:15:00","3395","12029394","3488.77","3868.55","3494.04"
"2017/2/11","06:30:00","3456","12029474","3504.55","3892.94","3512.72"
"2017/2/11","06:45:00","3432","12029554","3496.56","3875.87","3505.80"
"2017/2/11","07:00:00","3513","12029634","3517.69","3898.62","3523.71"
"2017/2/11","07:15:00","3670","12029714","3562.58","3931.26","3562.07"
"2017/2/11","07:30:00","3691","12029799","3557.22","3945.66","3569.22"
"2017/2/11","07:45:00","3801","12029889","3594.42","3967.18","3599.32"
"2017/2/11","08:00:00","4084","12029974","3658.67","4030.76","3665.83"
"2017/2/11","08:15:00","4173","12030069","3686.61","4060.71","3681.25"
"2017/2/11","08:30:00","4190","12030169","3686.46","4065.35","3685.61"
"2017/2/11","08:45:00","4287","12030269","3714.37","4092.71","3721.01"
"2017/2/11","09:00:00","4484","12030369","3768.79","4142.91","3776.65"
"2017/2/11","09:15:00","4339","12030474","3729.61","4108.99","3730.25"
"2017/2/11","09:30:00","4405","12030574","3740.58","4116.83","3746.42"
"2017/2/11","09:45:00","4394","12030679","3738.51","4118.58","3750.61"
"2017/2/11","10:00:00","4393","12030784","3746.44","4121.56","3751.52"
"2017/2/11","10:15:00","4351","12030884","3724.52","4108.60","3732.43"
"2017/2/11","10:30:00","4319","12030989","3720.97","4100.34","3731.24"
"2017/2/11","10:45:00","4290","12031094","3715.17","4098.39","3728.08"
"2017/2/11","11:00:00","4416","12031199","3751.84","4129.41","3759.03"
"2017/2/11","11:15:00","4384","12031299","3726.70","4113.74","3746.34"
"2017/2/11","11:30:00","4331","12031404","3720.80","4102.81","3731.81"
"2017/2/11","11:45:00","4268","12031504","3700.76","4086.10","3713.83"
"2017/2/11","12:00:00","4201","12031609","3687.33","4067.74","3706.90"
"2017/2/11","12:15:00","4165","12031709","3685.10","4069.66","3699.82"
"2017/2/11","12:30:00","4057","12031804","3656.18","4037.81","3669.56"
"2017/2/11","12:45:00","3985","12031899","3631.40","4013.93","3644.68"
"2017/2/11","13:00:00","3986","12031994","3642.12","4017.15","3650.29"
"2017/2/11","13:15:00","3964","12032089","3628.97","4017.24","3641.50"
"2017/2/11","13:30:00","4001","12032179","3633.88","4023.57","3655.82"
"2017/2/11","13:45:00","3826","12032274","3588.79","3976.76","3611.93"
"2017/2/11","14:00:00","3948","12032364","3631.58","4015.69","3643.24"
"2017/2/11","14:15:00","3846","12032454","3601.65","3985.56","3613.20"
"2017/2/11","14:30:00","4037","12032544","3637.67","4035.44","3663.54"
"2017/2/11","14:45:00","3799","12032639","3585.69","3974.14","3609.08"
"2017/2/11","15:00:00","3786","12032729","3583.20","3967.02","3596.61"
"2017/2/11","15:15:00","3723","12032819","3566.89","3953.12","3582.42"
"2017/2/11","15:30:00","3778","12032909","3579.51","3971.38","3598.02"
"2017/2/11","15:45:00","3878","12032999","3599.45","3985.64","3614.55"
"2017/2/11","16:00:00","3921","12033089","3607.24","3990.80","3626.27"
"2017/2/11","16:15:00","3838","12033179","3594.75","3977.85","3612.78"
"2017/2/11","16:30:00","3892","12033269","3614.96","3996.72","3622.98"
"2017/2/11","16:45:00","3920","12033359","3621.04","3998.92","3630.39"
"2017/2/11","17:00:00","3845","12033454","3602.17","3972.37","3611.99"
"2017/2/11","17:15:00","3765","12033544","3578.14","3956.99","3588.93"
"2017/2/11","17:30:00","3831","12033634","3594.66","3972.12","3617.71"
"2017/2/11","17:45:00","3695","12033724","3563.56","3945.29","3576.53"
"2017/2/11","18:00:00","3707","12033809","3568.71","3950.03","3580.69"
"2017/2/11","18:15:00","3734","12033899","3578.33","3952.59","3582.43"
"2017/2/11","18:30:00","3813","12033989","3592.33","3972.53","3603.13"
"2017/2/11","18:45:00","3715","12034074","3573.58","3939.42","3573.84"
"2017/2/11","19:00:00","3699","12034164","3568.64","3941.36","3575.57"
"2017/2/11","19:15:00","3684","12034249","3562.57","3940.43","3569.73"
"2017/2/11","19:30:00","3682","12034339","3565.38","3940.62","3571.31"
"2017/2/11","19:45:00","3746","12034424","3579.37","3952.54","3585.72"
"2017/2/11","20:00:00","3750","12034509","3581.08","3958.05","3589.79"
"2017/2/11","20:15:00","3679","12034599","3564.90","3934.71","3561.95"
"2017/2/11","20:30:00","3635","12034684","3552.00","3918.31","3560.15"
"2017/2/11","20:45:00","3653","12034774","3558.60","3921.18","3563.38"
"2017/2/11","21:00:00","3635","12034859","3551.34","3919.21","3557.32"
"2017/2/11","21:15:00","3662","12034944","3559.55","3920.22","3561.42"
"2017/2/11","21:30:00","3620","12035029","3549.66","3913.08","3552.99"
"2017/2/11","21:45:00","3595","12035114","3534.18","3909.03","3546.10"
"2017/2/11","22:00:00","3526","12035194","3521.27","3885.69","3532.57"
"2017/2/11","22:15:00","3446","12035279","3497.38","3877.51","3509.28"
"2017/2/11","22:30:00","3413","12035359","3495.35","3861.55","3504.00"
"2017/2/11","22:45:00","3373","12035439","3476.68","3859.77","3487.40"
"2017/2/11","23:00:00","3374","12035519","3476.76","3858.30","3489.75"
"2017/2/11","23:15:00","3436","12035599","3494.04","3870.40","3504.52"
"2017/2/11","23:30:00","3404","12035679","3486.29","3865.00","3494.86"
"2017/2/11","23:45:00","3396","12035759","3485.14","3867.39","3493.21"
"2017/2/12","00:00:00","3348","12035839","3470.24","3851.27","3484.10"
"2017/2/12","00:15:00","3279","12035914","3455.28","3831.26","3461.68"
"2017/2/12","00:30:00","3310","12035994","3462.41","3837.38","3466.43"
"2017/2/12","00:45:00","3299","12036069","3462.59","3844.03","3469.50"
