"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","ZWP-1.F","","5 minutes"
"Point_2:","ZWP-2.F","","5 minutes"
"Point_3:","ZWP-3.F","","5 minutes"
"Point_4:","ZWP-4.F","","5 minutes"
"Point_5:","ZWP-5.F","","5 minutes"
"Point_6:","ZWP-6.F","","5 minutes"
"Point_7:","ZWP-7.F","","5 minutes"
"Point_8:","ZWP-8.F","","5 minutes"
"Point_9:","ZWP-9.F","","5 minutes"
"Point_10:","ZON1.WDP","","5 minutes"
"Point_11:","ZON2.WDP","","5 minutes"
"Point_12:","ZWP-Z1.WDP","","5 minutes"
"Point_13:","ZWP-Z2.WDP","","5 minutes"
"Point_14:","ZWP-Z3.WDP","","5 minutes"
"Time Interval:","15 Minutes"
"Date Range:","2017/4/11 00:00:00 - 2017/7/10 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14"
"2017/4/11","00:00:00","57.2","56.5","1.2","38.2","35.8","3.0","32.9","31.3","2.0","No Data","No Data","2.2","10.8","3.8"
"2017/4/11","00:15:00","57.2","56.5","1.2","40.5","38.4","2.9","34.4"," -0.2","2.0","No Data","No Data","1.2","10.8","4.2"
"2017/4/11","00:30:00","57.3","56.5","1.2","39.0","36.6","3.0","40.7"," -0.2","2.0","No Data","No Data","1.6","10.8","3.7"
"2017/4/11","00:45:00","57.2","56.5","1.2","41.3","39.0","2.9","33.1"," -0.2","2.0","No Data","No Data","1.1","10.8","4.4"
"2017/4/11","01:00:00","57.2","56.5","1.2","51.2","50.2","3.0","33.6","32.1","2.0","No Data","No Data","2.3","10.8","7.7"
"2017/4/11","01:15:00","57.3","56.5","1.2","38.5","36.1","3.0","32.1"," -0.2","2.0","No Data","No Data","1.0","10.8","4.0"
"2017/4/11","01:30:00","57.2","56.5","1.2","47.7","46.3","3.0","38.8"," -0.2","2.0","No Data","No Data","1.5","10.8","6.7"
"2017/4/11","01:45:00","57.3","56.5","1.2","39.0","36.7","3.0","34.9"," -0.2","2.0","No Data","No Data","1.2","10.8","4.1"
"2017/4/11","02:00:00","57.3","56.5","1.2","49.3","48.0","3.0","39.1"," -0.2","2.0","No Data","No Data","1.5","10.8","7.2"
"2017/4/11","02:15:00","57.2","56.5","1.2","40.5","38.2","3.0","34.5"," -0.2","2.0","No Data","No Data","1.2","10.8","4.5"
"2017/4/11","02:30:00","57.3","56.5","1.2","38.2","35.7","3.0","40.7"," -0.2","2.0","No Data","No Data","1.6","10.8","4.0"
"2017/4/11","02:45:00","57.2","56.5","1.2","46.7","45.2","3.0","35.2"," -0.2","2.0","No Data","No Data","1.3","10.8","6.5"
"2017/4/11","03:00:00","57.2","56.5","1.2","43.2","41.2","3.0","31.2"," -0.2","2.0","No Data","No Data","1.0","10.8","5.4"
"2017/4/11","03:15:00","57.3","56.5","1.2","40.8","38.6","3.0","36.8","35.1","2.0","No Data","No Data","2.7","10.8","4.6"
"2017/4/11","03:30:00","57.2","56.5","1.2","38.2","35.8","3.0","31.9"," -0.2","2.0","No Data","No Data","1.1","10.8","3.9"
"2017/4/11","03:45:00","57.3","56.5","1.2","45.9","44.2","3.0","37.6"," -0.2","2.0","No Data","No Data","1.5","10.8","6.1"
"2017/4/11","04:00:00","57.3","56.5","1.2","38.2","35.7","3.0","33.9"," -0.2","2.0","No Data","No Data","1.2","10.8","4.0"
"2017/4/11","04:15:00","57.2","56.5","1.2","38.2","35.7","2.9","30.2"," -0.2","2.0","No Data","No Data","0.9","10.8","3.9"
"2017/4/11","04:30:00","57.3","56.5","1.2","38.2","35.7","3.0","41.7"," -0.2","2.0","No Data","No Data","1.8","10.8","3.8"
"2017/4/11","04:45:00","57.2","56.5","1.2","38.2","35.7","2.9","31.1"," -0.2","2.0","No Data","No Data","1.0","10.8","3.9"
"2017/4/11","05:00:00","57.3","56.5","1.2","38.2","35.6","2.9","43.1"," -0.2","2.0","No Data","No Data","1.8","10.8","4.0"
"2017/4/11","05:15:00","57.3","56.5","1.2","38.2","35.6","2.9","32.1"," -0.2","2.0","No Data","No Data","1.1","10.8","3.9"
"2017/4/11","05:30:00","57.2","56.5","1.2","38.1","35.7","2.9","31.4"," -0.2","2.0","No Data","No Data","1.0","10.8","3.9"
"2017/4/11","05:45:00","57.3","56.5","1.2","44.4","42.5","3.0","38.8"," -0.2","2.0","No Data","No Data","1.5","10.8","5.7"
"2017/4/11","06:00:00","57.2","56.5","1.2","38.2","35.6","3.0","30.1"," -0.2","2.0","No Data","No Data","0.9","10.8","4.1"
"2017/4/11","06:15:00","57.2","56.5","1.2","38.2","35.6","2.9","33.1","31.5","2.0","No Data","No Data","2.2","10.8","4.0"
"2017/4/11","06:30:00","57.3","56.5","1.2","38.3","35.8","3.0","31.6"," -0.2","2.0","No Data","No Data","1.0","10.8","4.1"
"2017/4/11","06:45:00","57.2","56.5","1.2","38.2","35.7","3.0","38.9"," -0.2","2.0","No Data","No Data","1.5","10.8","3.8"
"2017/4/11","07:00:00","57.3","56.5","1.2","40.9","38.7","3.0","34.8"," -0.2","2.0","No Data","No Data","1.2","10.8","4.3"
